Timestamp, Time, Mean, Variance, Deviation, Weighted, Min, Max, Root Mean Square
18.130, 2.491000000E+001, 4.056774572E-004, 2.865396455E-006, 1.692748196E-003, 3.326705801E+002, -2.754845889E-003, 7.768575102E-003, 1.720489156E-003
18.230, 2.501000000E+001, 2.947213894E-004, 2.734820072E-006, 1.653729141E-003, 3.333944513E+002, -3.218828468E-003, 6.092540920E-003, 1.659812592E-003
18.330, 2.511000000E+001, 5.112680998E-004, 3.170354874E-006, 1.780549037E-003, 3.332877262E+002, -2.739466494E-003, 6.162108853E-003, 1.831508727E-003
18.430, 2.521000000E+001, 6.360281965E-004, 3.618816098E-006, 1.902318611E-003, 3.330736721E+002, -3.234568285E-003, 8.585693315E-003, 1.983704655E-003
18.530, 2.531000000E+001, 9.249595680E-004, 3.144948179E-006, 1.773400174E-003, 3.332741645E+002, -2.825660864E-003, 7.449469529E-003, 1.980856463E-003
18.630, 2.541000000E+001, 4.900315416E-004, 3.809491178E-006, 1.951791787E-003, 3.330511735E+002, -2.333051525E-003, 8.730346337E-003, 1.989147473E-003
18.730, 2.551000000E+001, 3.850413863E-004, 3.579103439E-006, 1.891851854E-003, 3.330694370E+002, -2.448493615E-003, 8.995846845E-003, 1.907895464E-003
18.830, 2.561000000E+001, 6.579598656E-004, 3.091996157E-006, 1.758407278E-003, 3.330729639E+002, -2.571215387E-003, 6.866339594E-003, 1.857281024E-003
18.930, 2.571000000E+001, 8.213463611E-004, 4.002519906E-006, 2.000629877E-003, 3.329441127E+002, -2.454145346E-003, 9.606998414E-003, 2.139978344E-003
19.030, 2.581000000E+001, 2.928763119E-004, 3.214848759E-006, 1.792999933E-003, 3.326714678E+002, -2.306875307E-003, 8.327752352E-003, 1.795052742E-003
19.130, 2.591000000E+001, 5.774722390E-004, 4.158666233E-006, 2.039280813E-003, 3.332147825E+002, -1.426938688E-003, 1.123291533E-002, 2.095401999E-003
19.230, 2.601000000E+001, 7.268828823E-004, 3.800214846E-006, 1.949413975E-003, 3.332766201E+002, -2.441250952E-003, 9.920541197E-003, 2.058126673E-003
19.330, 2.611000000E+001, -4.475900047E-004, 3.936934747E-006, 1.984171048E-003, 3.331430988E+002, -3.610662185E-003, 8.412843570E-003, 2.010285741E-003
19.430, 2.621000000E+001, 6.180737972E-004, 3.088579007E-006, 1.757435349E-003, 3.329941686E+002, -2.766073914E-003, 7.297295611E-003, 1.842623953E-003
19.530, 2.631000000E+001, 2.385604006E-004, 3.382288526E-006, 1.839099923E-003, 3.328736981E+002, -3.639118513E-003, 7.859954610E-003, 1.832131204E-003
19.630, 2.641000000E+001, 1.137846119E-003, 3.154734603E-006, 1.776157257E-003, 3.332027541E+002, -1.214453601E-003, 9.600717574E-003, 2.091048456E-003
19.730, 2.651000000E+001, 7.616849582E-004, 3.704324415E-006, 1.924662156E-003, 3.332697434E+002, -2.062106505E-003, 9.431602433E-003, 2.047959720E-003
19.830, 2.661000000E+001, 2.687461987E-004, 3.693997067E-006, 1.921977385E-003, 3.332744385E+002, -3.564640414E-003, 9.719901718E-003, 1.917322116E-003
19.930, 2.671000000E+001, 5.604727540E-004, 3.399845118E-006, 1.843866893E-003, 3.333952799E+002, -2.119370038E-003, 8.432387374E-003, 1.905531888E-003
20.030, 2.681000000E+001, 6.318203262E-004, 3.159050413E-006, 1.777371771E-003, 3.330396687E+002, -2.069665119E-003, 8.887385949E-003, 1.865796701E-003
20.130, 2.691000000E+001, 1.052432444E-003, 3.526674875E-006, 1.877944321E-003, 3.328461394E+002, -2.124481602E-003, 9.094944224E-003, 2.132667921E-003
