Timestamp, Time, Mean, Variance, Deviation
34.17000, 8.580000000E+001, 5.128431854E-004, 1.723874151E-006, 1.312963880E-003
34.27000, 8.590000000E+001, 4.460116678E-004, 1.706698334E-006, 1.306406649E-003
34.37000, 8.600000000E+001, -4.109288372E-004, 1.679699381E-006, 1.296032168E-003
34.47000, 8.610000000E+001, 4.427045193E-005, 1.687914355E-006, 1.299197581E-003
34.57000, 8.620000000E+001, 5.827962528E-006, 1.769874127E-006, 1.330366163E-003
34.67000, 8.630000000E+001, -2.340798015E-004, 1.724223332E-006, 1.313096848E-003
34.77000, 8.640000000E+001, 1.674786290E-005, 1.757158460E-006, 1.325578538E-003
34.87000, 8.650000000E+001, -8.285581769E-005, 1.686063320E-006, 1.298485009E-003
34.97000, 8.660000000E+001, -2.135287839E-004, 1.693774216E-006, 1.301450812E-003
35.07000, 8.670000000E+001, 2.946947688E-005, 1.744154570E-006, 1.320664443E-003
35.17000, 8.680000000E+001, 5.078978280E-004, 1.728995359E-006, 1.314912681E-003
35.27000, 8.690000000E+001, 1.599029528E-004, 1.719173073E-006, 1.311172404E-003
35.37000, 8.700000000E+001, 3.092466417E-004, 1.684809386E-006, 1.298002075E-003
35.47000, 8.710000000E+001, 8.727162404E-005, 1.638583509E-006, 1.280071681E-003
35.57000, 8.720000000E+001, 3.334222609E-004, 1.691609258E-006, 1.300618798E-003
35.67000, 8.730000000E+001, -9.139080046E-005, 1.689505319E-006, 1.299809724E-003
35.77000, 8.740000000E+001, 7.199624900E-004, 1.792507410E-006, 1.338845551E-003
35.87000, 8.750000000E+001, 5.724710940E-004, 1.733144313E-006, 1.316489389E-003
35.97000, 8.760000000E+001, -8.650691173E-005, 1.693896483E-006, 1.301497785E-003
36.07000, 8.770000000E+001, 2.449502905E-004, 1.673896051E-006, 1.293791348E-003
36.17000, 8.780000000E+001, -2.594176186E-006, 1.704114338E-006, 1.305417304E-003
36.27000, 8.790000000E+001, 2.057296078E-004, 1.657068760E-006, 1.287271828E-003
36.37000, 8.800000000E+001, 2.386528716E-004, 1.716635034E-006, 1.310204195E-003
36.47000, 8.810000000E+001, -3.706482762E-005, 1.720726356E-006, 1.311764596E-003
36.57000, 8.820000000E+001, 3.685981358E-004, 1.715552446E-006, 1.309790993E-003
36.67000, 8.830000000E+001, 1.398729236E-004, 1.738684041E-006, 1.318591689E-003
36.77000, 8.840000000E+001, 5.377017440E-004, 1.701206843E-006, 1.304303202E-003
36.87000, 8.850000000E+001, -3.532624927E-004, 1.716528258E-006, 1.310163447E-003
36.97000, 8.860000000E+001, -4.800085967E-004, 1.714111714E-006, 1.309240892E-003
37.07000, 8.870000000E+001, 6.702286080E-004, 1.661504139E-006, 1.288993460E-003
37.17000, 8.880000000E+001, -1.739105229E-004, 1.703068331E-006, 1.305016602E-003
37.27000, 8.890000000E+001, 3.332315377E-004, 1.722897458E-006, 1.312591886E-003
37.37000, 8.900000000E+001, -1.123347788E-004, 1.660099681E-006, 1.288448556E-003
37.47000, 8.910000000E+001, 2.092818751E-004, 1.796733795E-006, 1.340422991E-003
37.57000, 8.920000000E+001, 5.057906561E-005, 1.677532257E-006, 1.295195837E-003
37.67000, 8.930000000E+001, 4.271789150E-004, 1.666145360E-006, 1.290792532E-003
37.77000, 8.940000000E+001, -3.011374582E-004, 1.683458991E-006, 1.297481788E-003
37.87000, 8.950000000E+001, 6.020283372E-005, 1.812885217E-006, 1.346434260E-003
37.97000, 8.960000000E+001, 4.254401650E-005, 1.707405010E-006, 1.306677087E-003
38.07000, 8.970000000E+001, -1.185390554E-004, 1.687492011E-006, 1.299035031E-003
38.17000, 8.980000000E+001, -1.430002737E-004, 1.679253262E-006, 1.295860047E-003
38.27000, 8.990000000E+001, 1.552619475E-004, 1.736048614E-006, 1.317591976E-003
