Statistics_Analysis_Results, , , , , , , , 
Timestamp,Time [s],Mean Value[Intensity],Variance[-],Standard Deviation[Intensity],Weighted Average[nm (vac)],Min Value[Intensity],Max Value[Intensity],Root Mean Square[Intensity]
2017-06-13T13:22:45.8400000-03:00,1.480000000E+001,7.188316045E-004,1.107436831E-005,3.327817349E-003,8.672507464E+002,-1.559371367E-003,9.356841445E-003,3.218788874E-003
2017-06-13T13:22:45.9500000-03:00,1.491000000E+001,4.962420814E-004,8.263340755E-006,2.874602713E-003,8.673093426E+002,-1.479703700E-003,7.831602357E-003,2.755258243E-003
2017-06-13T13:22:46.0500000-03:00,1.501000000E+001,1.934910083E-003,1.109332630E-005,3.330664544E-003,8.672456657E+002,-9.644505335E-004,1.020334568E-002,3.688442967E-003
2017-06-13T13:22:46.1400000-03:00,1.510000000E+001,1.285979825E-003,6.225352168E-006,2.495065564E-003,8.672722940E+002,-8.275065920E-004,7.289724424E-003,2.680930898E-003
2017-06-13T13:22:46.2500000-03:00,1.521000000E+001,1.776102809E-003,1.030996999E-005,3.210914199E-003,8.672252742E+002,-3.966930090E-004,9.935356677E-003,3.509837455E-003
2017-06-13T13:22:46.3500000-03:00,1.531000000E+001,1.511226712E-003,1.258756980E-005,3.547896532E-003,8.672334613E+002,-1.566836261E-003,1.058008987E-002,3.670525454E-003
2017-06-13T13:22:46.4500000-03:00,1.541000000E+001,7.229027930E-004,7.602165325E-006,2.757202445E-003,8.671626081E+002,-2.403163351E-003,6.280687638E-003,2.698160250E-003
2017-06-13T13:22:46.5500000-03:00,1.551000000E+001,1.555838494E-003,8.432392435E-006,2.903858198E-003,8.672912601E+002,-1.854836009E-003,8.719757199E-003,3.148982909E-003
2017-06-13T13:22:46.6500000-03:00,1.561000000E+001,1.153719878E-003,8.382252807E-006,2.895212049E-003,8.672165645E+002,-1.684355782E-003,8.164728992E-003,2.963437352E-003
2017-06-13T13:22:46.7500000-03:00,1.571000000E+001,1.508608418E-003,1.008827183E-005,3.176203996E-003,8.672071161E+002,-2.461255528E-003,8.925432339E-003,3.353095897E-003
2017-06-13T13:22:46.8500000-03:00,1.581000000E+001,1.002888350E-003,8.855332233E-006,2.975791026E-003,8.671735712E+002,-2.034344710E-003,8.087760769E-003,2.979461608E-003
2017-06-13T13:22:46.9500000-03:00,1.591000000E+001,1.591192135E-003,5.919263332E-006,2.432953623E-003,8.673328201E+002,-1.084596268E-003,7.601193152E-003,2.791676882E-003
2017-06-13T13:22:47.0500000-03:00,1.601000000E+001,1.065567741E-003,9.125058289E-006,3.020771142E-003,8.673610475E+002,-2.863055794E-003,7.714469917E-003,3.040821852E-003
2017-06-13T13:22:47.1500000-03:00,1.611000000E+001,1.417531365E-003,6.070459017E-006,2.463830152E-003,8.672392258E+002,-2.277370077E-003,6.597608794E-003,2.721278880E-003
2017-06-13T13:22:47.2500000-03:00,1.621000000E+001,1.420459923E-003,1.157285200E-005,3.401889476E-003,8.671945237E+002,-2.395476680E-003,9.800497442E-003,3.507803580E-003
